id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,description,date_publication,url,source,competences_extraites,latitude,longitude
206TLCN,Data Analyst / Data Scientist Junior (H/F) B.E. (H/F),BE.BELLANGER,65 - Tarbes,65000.0,CDI,Mensuel de 2150.0 Euros sur 12.0 mois,2 An(s),"Adapter les outils de traitement statistique de données, Conduire des travaux d'études et de recherche, Définir et faire évoluer des procédés de traitement de l'information, Pyton, Power BI","Dans le cadre du développement de nos activités data, B.E. BELLANGER 

recherche un(e) Data Analyst / Data Scientist Junior pour rejoindre son équipe.

Vous interviendrez sur des projets d'analyse, de modélisation et de valorisation de données afin d'accompagner la prise de décision stratégique.

Missions principales:

1 Collecter, nettoyer et analyser des données (web scraping, bases internes, API.)
2 Concevoir des tableaux de bord interactifs avec Power BI
3 Développer des modèles de machine learning (régression, prédiction.) avec Python
4 Évaluer les performances des modèles (R², métriques statistiques.)
5 Participer à la structuration et à l'optimisation des bases de données
6 Collaborer avec les équipes métiers pour comprendre les besoins",2026-04-10,https://candidat.francetravail.fr/offres/recherche/detail/206TLCN,France Travail,"python, machine learning, power bi, api, statistiques, modélisation, régression",48.8329,2.3897
206SSHF,Data Scientist - Operational Research (Or) F/H (H/F),Non précisé,92 - NEUILLY SUR SEINE,92200.0,CDI,Annuel de 40000.0 Euros à 60000.0 Euros sur 12.0 mois,2 An(s),"Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information","Bienvenue chez JCDecaux !  
Chez JCDecaux, nous façonnons l'avenir de la communication extérieure.  
Nous nous engageons à être le média responsable et durable qui sert la communauté, tant en ville que dans les lieux de transport et de commerce. 
Au sein de la Direction DataCorp, en charge de la conception et de l'industrialisation des solutions d'optimisation au service des équipes business, nous recherchons un.e Data Scientist - OR (H/F) pour rejoindre une équipe pluridisciplinaire composée de Data Scientists, Data Engineers et Software Engineers.

Au quotidien vous serez amené à :
- Cadrer les problématiques métier (pricing, allocation, prévisions, optimisation de revenus / inventaire) avec les équipes business, data & produit.
- Formaliser ces problématiques en modèles de Recherche Opérationnelle (PL, PLNE, PNL, heuristiques, métaheuristiques, simulation, etc.).
- Concevoir, prototyper et implémenter des algorithmes d'optimisation en Python (du notebook au code prêt pour la prod).
- Choisir, paramétrer et combiner des solveurs (open source et/ou commerciaux) en fonction des contraintes de performance, coûts et licences.
- Concevoir des pipelines robustes : ingestion de données, nettoyage, feature engineering, préparation des paramètres pour les modèles d'optimisation.
- Travailler avec les équipes data/engineering pour exposer les algorithmes sous forme de microservices déployés dans le cloud.
- Réaliser des analyses de sensibilité et des tests A/B pour mesurer l'impact business des nouvelles stratégies d'optimisation.
- Documenter les modèles, hypothèses, limites, et évangéliser les bonnes pratiques de Recherche Opérationnelle en interne.
- Assurer une veille scientifique et technologique (nouveaux solveurs, frameworks OR, bonnes pratiques d'architecture pour l'optimisation).
- Vous avez au moins 3 à 5 ans d'expérience en Recherche Opérationnelle appliquée (idéalement sur des sujets d'optimisation de revenus / pricing / allocation / supply / planning).
- Format",2026-04-10,https://candidat.francetravail.fr/offres/recherche/detail/206SSHF,France Travail,python,48.8295,2.3781
206QFDD,Data Scientist (H/F),PREFECTURE DE DEPARTEMENT BAS-RHIN,67 - STRASBOURG,67000.0,CDD,Non précisé,6 Mois,"Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information","Elle/il exploite, analyse et évalue la richesse de données structurées ou non, appartenant à l'administration ou non, pour établir
des scénarii permettant de comprendre et d'anticiper de futurs levier Métiers ou opérationnels pour l'administration.
La mission consistera à évaluer la qualité de service et la pertinence du système de ticketing et des processus associés afin
d'identifier les leviers d'amélioration et d'optimiser la gestion du support utilisateur du Sidsic. Le principal travail consistera à
travailler, trier, analyser les données du système de ticketing.
4 Appliquer des techniques (statistiques, text mining, comportemental, géolocalisation, ...) d'extraction et d'analyse
d'informations, obtenues à partir de gisements de données (Système de ticketing)
4 Obtenir des données adéquates, trouve les sources de données pertinentes, faire des recommandations sur les bases de
données à consolider, modifier, rapatrier, externaliser, internaliser
4 Évaluer la qualité et la richesse des données, les analyser et en restitue les résultats pour ensuite les intégrer dans le
système d'information cible du Métier
4 Analyser les données pour traduire une problématique Métier en problème mathématiques/statistiques et
réciproquement
4 Comparer et évaluer différents modèles ou méthodes de calcul et anticiper les avantages et inconvénients dans un
environnement Métier

Le Sidsic gère les systèmes d'information de la préfecture et des DDI dans tous leurs sites : sièges, sous-préfectures, antennes,
unités territoriales, abattoirs.
Moyens individuels à disposition : ordinateur portable (NOÉMI) et smartphone.

Votre environnement professionnel
Activités du service :
Le Secrétariat Général Commun du Bas-Rhin est une direction interministérielle en charge des fonctions support de la
préfecture du Bas-Rhin, et des trois directions interministérielles des territoires, de la protection des populations, et de
cohésion sociale de l'insertion du travail et de l'emploi.
Les missions du SG",2026-04-08,https://candidat.francetravail.fr/offres/recherche/detail/206QFDD,France Travail,statistiques,48.8329,2.3898
206PXHR,Alternance - Data Scientist F/H,ENEDIS,06 - NICE,6000.0,CDD,Mensuel de 810.0 Euros à 1801.0 Euros sur 12.0 mois,Débutant accepté,"Capacité d'analyse / Esprit de synthèse, Esprit critique","En tant qu'alternant Data Scientist, vous rejoindrez l'équipe Hypervision dédiés au pilotage en temps réel, à la performance opérationnelle et à l'amélioration continue des outils SI permettant d'accompagner les équipes terrain.
En rejoignant l'Hypervision, vous intégrerez une équipe au coeur de la transformation digitale du Domaine Opération, où la donnée, la supervision et la qualité de service sont essentielles.
Vous contribuerez à renforcer la fiabilité du pilotage, à optimiser les outils utilisés par les métiers, et à développer des solutions innovantes améliorant l'efficacité opérationnelle.
Vous collaborerez avec des experts en data et les équipes métier. Vos principales missions seront :
Analyse & Performance : Collecter, analyser et structurer les données pour produire des KPI, créer des tableaux de bord et contribuer au pilotage et aux analyses budgétaires.
Data Science & Modélisation : Développer et optimiser des modèles prédictifs, améliorer les algorithmes et renforcer la fiabilité des données.
Reporting & Outils SI :Produire des rapports automatisés, développer des outils ou automatisations et fournir des analyses ad hoc pour la prise de décision.
Optimisation & Conformité : Améliorer les processus et outils, intégrer les exigences de sécurité et conformité, et contribuer aux contrôles internes.
Coordination Technique : Assurer l'interface avec les équipes techniques, accompagner les utilisateurs, participer aux tests et proposer des améliorations pour optimiser les usages.
Vous participerez également à des projets variés pour répondre aux besoins des différents services de l'entreprise. Une prime d'intéressement avec abondement possible
Jusqu'à 10 jours de télétravail par mois (selon les métiers et sous validation de votre futur manager)
30 jours de congés payés par an et 5 jours de congés supplémentaires pour révision.
Aide à l'emménagement possible et aide au passage du permis B
100 % de votre titre d'abonnement pour vos trajets quotidiens pris en c",2026-04-08,https://candidat.francetravail.fr/offres/recherche/detail/206PXHR,France Travail,modélisation,46.8691,-71.1776
206PVNR,Data Scientist Ii (H/F),Non précisé,75 - PARIS 09,75009.0,CDI,Annuel de 70000.0 Euros à 110000.0 Euros sur 12.0 mois,3 An(s),,"VOS RESPONSABILITÉS
Dynamisée par l'enthousiasme autour de BrazeAI, notre base de clients continue de croître et nous renforçons nos équipes ! Rejoignez notre équipe de Field Data Scientists, un groupe d'experts techniques créatifs qui collaborent étroitement avec les clients pour assurer leur réussite. À ce poste, vous :
- Collaborerez avec les équipes Analytics/BI des clients et les équipes Braze pour définir les cas d'usage, intégrer les données, mettre en place les pipelines et configurer les modèles de machine learning
- Étendrez les capacités du produit en améliorant l'architecture et en développant des pipelines de données, des API et des composants réutilisables
- Travaillerez en étroite collaboration avec l'équipe de développement des pipelines RL afin d'améliorer et de faire évoluer nos algorithmes d'apprentissage par renforcement
- Contribuerez à définir la stratégie produit et la feuille de route de Braze grâce aux retours clients et à votre expertise technique
- Apporterez une expertise technique continue afin de favoriser l'adoption de la solution, d'obtenir des résultats mesurables et d'assurer le succès durable des clients",2026-04-08,https://candidat.francetravail.fr/offres/recherche/detail/206PVNR,France Travail,"machine learning, api",48.8414,2.3675
206MBXT,Data Scientist - Risque - Fraude - Conformité Bancaire (H/F),INFORMATIS TECHNOLOGY SYSTM,94 - Val-de-Marne,,CDI,Annuel de 45000.0 Euros à 60000.0 Euros sur 12.0 mois,5 An(s),"Application web, Gestion des configurations, Analyser, exploiter, structurer des données, Concevoir une application web, Tester un logiciel, un système d'informations, une application","Description du poste :
Localisation : Val-de-Marne (mode hybride)
Expérience : 6 ans minimum
________________________________________
Contexte de la mission
Au sein d'un grand groupe bancaire, vous intervenez sur l'optimisation du dispositif de surveillance des opérations dans le cadre de la lutte contre le blanchiment et le financement du terrorisme (LCB-FT).
Actuellement, la détection repose sur la solution Actimize (en place depuis 2022), avec une vingtaine de scénarios actifs. Plusieurs phases de recalibrage ont déjà été menées afin d'améliorer la pertinence des alertes.
Un projet stratégique de migration vers un outil interne (VIGILAB) est en cours, avec un objectif de mise en production à horizon 2027.
Les données d'alertes historisées (depuis 2023) sont disponibles dans un DataLake et constituent le socle des analyses à mener.
________________________________________
Objectifs de la mission
- Améliorer l'auditabilité du dispositif de surveillance LCB-FT
- Réduire les faux positifs et optimiser la pertinence des alertes
- Recalibrer les seuils de détection sur la base d'analyses data-driven
- Préparer la transition vers le nouvel outil interne VIGILAB
________________________________________
Missions principales
- Analyser les scénarios générant le plus de faux positifs (volumétrie et montants)
- Recalibrer les règles existantes et justifier les choix via des analyses de risque et d'impact
- Étudier l'enrichissement du catalogue de scénarios (nouveaux cas d'usage)
- Intégrer de nouvelles variables métier (âge, CSP, patrimoine, etc.) dans les modèles
- Adapter les bases de calcul et les logiques de scoring
- Contribuer au paramétrage du futur outil VIGILAB
- Assurer la montée en compétences des équipes internes
- Produire une documentation claire, exploitable et audit-ready
________________________________________
Livrables attendus
- Fiches scénarios mises à jour
- Documentation méthodologique et analytique
- Synthèses d'aide à la décision
- Justification des ",2026-04-03,https://candidat.francetravail.fr/offres/recherche/detail/206MBXT,France Travail,,48.8295,2.378
206JNVC,Data Scientist (H/F),SEGMENT ELITE,75 - PARIS,75009.0,CDI,Annuel de 45000.0 Euros à 65000.0 Euros sur 12.0 mois,7 An(s),"Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information","Nouvelle Opportunité - DATA SCIENTIST SENIOR
Localisation: Issy-les-Moulineaux (92) et Ollioules (83)

Description du Projet:
Participer à la phase de scoping et au cadrage des besoins IA, concevoir, développer et valider des solutions algorithmiques de Computer Vision/DRI. Assurer le cycle de vie complet des modèles (MLOps) dans un environnement de sprint condensé.
Compétences Requises:
Computer Vision
Algorithmes DRI
TensorFlow
PyTorch
Python
Docker
GitLab CI
MLOps
Deep Learning
Machine Learning

Environnement Techniques: 
Computer Vision, DRI, ML/DL, Python, Docker, GitLab, TensorFlow, PyTorch, GitLab CI, MLOps, Deep Learning, Machine Learning
Expérience: 7",2026-04-01,https://candidat.francetravail.fr/offres/recherche/detail/206JNVC,France Travail,"python, machine learning, deep learning, tensorflow, pytorch, docker",48.8414,2.3675
206JGXV,"Data Scientist, Expert Python , Pyspark, Azur (H/F)",CEDIS BI DEAPDATA,75 - Paris (Dept.),,CDI,Annuel de 45000.0 Euros à 50000.0 Euros sur 12.0 mois,6 Mois,"Mastère spécialisé expert big data engineer, Programmation en Python, Analyser, exploiter, structurer des données","DEAPDATA recherche un data Scientist pour rejoindre son équipe data :

En tant que Data Scientist, vous serez responsable de l'analyse et de l'interprétation de données complexes pour aider l'entreprise à prendre des décisions éclairées. Vous travaillerez en étroite collaboration avec les équipes techniques et commerciales pour comprendre leurs besoins et fournir des solutions basées sur des données.

Fonctions et responsabilités
Vos missions principales seront les suivantes :
Analyser et interpréter des ensembles de données complexes pour identifier des tendances, des modèles et des corrélations qui peuvent avoir un impact sur les décisions commerciales
Utiliser des techniques statistiques pour concevoir et exécuter des tests rigoureux sur les données
Collaborer avec les équipes techniques pour comprendre les besoins en matière de données et aider à définir les exigences pour les nouvelles fonctionnalités et améliorations
Développer des modèles prédictifs et des algorithmes d'apprentissage automatique pour extraire des informations significatives à partir de données non structurées ou semi-structurées
Présenter les résultats de l'analyse de manière claire et concise aux parties prenantes non techniques
Participer à la mise en place de stratégies de gestion des données, y compris la conception et la mise en œuvre de bases de données, la sélection des outils d'analyse de données et la définition des normes de qualité des données
Rester à jour sur les dernières avancées dans le domaine de la science des données et de l'analyse de données

Qualités requises pour réussir dans ce rôle

De formation supérieure en informatique avec une spécialisation en data science, Ecole d'Ingénieur ou Université, vous disposez d'une expérience professionnelle en tant que Data Scientist, avec une solide compréhension des techniques d'analyse de données, y compris la modélisation statistique, l'apprentissage automatique et l'analyse prédictive.


Vous maîtrisez les compétences techniques ",2026-04-01,https://candidat.francetravail.fr/offres/recherche/detail/206JGXV,France Travail,"statistiques, modélisation",48.8414,2.3675
206GRDB,Data Scientist (H/F),IRLY,Ile-de-France,,CDI,Annuel de 40000.0 Euros à 55000.0 Euros sur 12.0 mois,Débutant accepté,"Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information","IRLY réinvente le métier du conseil autour de la transformation digitale. Nos équipes interviennent sur de grands programmes de transformation, principalement pour de grandes banques et sur des enjeux complexes à la fois d'un point de vue métier et technologique.

Votre rôle
Au sein d'une équipe IRLY pluridisciplinaires, votre rôle est d'accompagner nos clients sur leurs projets de transformation digitale, sur la dimension Data :
- Identifier les problématiques Data du client et recueillir ses besoins métier depuis la collecte des données jusqu'au reporting en passant par les étapes de transformation / enrichissement (problématiques liées à l'accès aux données, l'obsolescence technologique, la qualité des données, l'efficacité opérationnelle.)
- Proposer une architecture cible en fonction des besoins et de l'écosystème du client et planifier les travaux
- Déterminer une trajectoire pour atteindre la cible
- Piloter le projet et contribuer à ses différentes étapes :
- Conduire les travaux d'analyse fonctionnelle et de développement sur le projet
- Monter en compétence sur les plateformes proposées par le client (DataIku, Alteryx, Tableau, PowerBI, ABinitio, SnowFlake.)
- Accompagner l'utilisateur final dans l'appropriation de la solution


Notre promesse
Un parcours de carrière qui capitalise sur vos talents et vos envies, le développement d'un skill-set de consultant hybride, fonctionnel et technologique, à travers des missions diversifiées et des formations certifications sur les meilleures technologies autour de la data et les meilleures pratiques de conduite de projet (Agile, Design Thinking...)
Une évolution sur des programmes ambitieux, aux contacts de clients prestigieux et exigeants, sur des sujets clés (exemple : reporting ESG, architecture Big Data, Data Lineage.)
Un environnement sain et bienveillant, au contact de profils expérimentés qui vous guideront dans vos premiers pas et vous coacheront tout le long de votre carrière au sein du cabinet
Une équipe d",2026-03-31,https://candidat.francetravail.fr/offres/recherche/detail/206GRDB,France Travail,"snowflake, tableau",48.6443,2.7538
205ZJQR,Data Scientist (H/F),LITTLEBIGCODE,75 - PARIS 17,75017.0,CDI,Non précisé,2 An(s),"Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information"," Rejoins LittleBigCode en tant que Data Scientist !
Chez LittleBigCode, notre mission est simple : transformer les données en valeur pour nos clients.
Nous accompagnons des entreprises ambitieuses dans leurs projets data & IA, en concevant et déployant des solutions innovantes qui font la différence.
Ton rôle chez nous
En tant que Data Scientist, tu seras amené(e) à :
Accompagner nos clients dans la mise en œuvre de solutions autour de la gestion et de la transformation de leurs données.
Concevoir, élaborer et déployer des modèles d'apprentissage automatique avancés et des algorithmes (LLM, NLP, LangChain, RAG, etc.).
Appliquer les bonnes pratiques de MLOps pour assurer la mise en production et le suivi des modèles.
Exploiter les capacités de l'IA Générative pour développer des solutions innovantes, principalement en Python.
Réaliser des analyses approfondies pour extraire des insights pertinents et orienter la prise de décision.
Participer aux phases avant-vente en apportant ton expertise.
Concevoir, développer et déployer des POC et modèles génératifs.
Assurer une veille technologique continue pour identifier et proposer des solutions innovantes.
 Profil recherché
Tu es diplômé(e) d'un Bac+5 en data science ou machine learning.
Tu as une première expérience réussie en tant que Data Scientist, idéalement sur des sujets liés à l'IA générative.
Tu as déjà travaillé sur le développement et le déploiement de modèles en environnement de production.
Tu maîtrises les technologies Gen AI et LLM, avec une bonne compréhension des architectures RAG.
Tu as des bases en machine learning (clustering, classification, régression, détection d'anomalies, optimisation, deep learning appliqué au NLP et à la vision).
Tu es à l'aise en français et en anglais, à l'écrit comme à l'oral.
Bonus : tu as une sensibilité DevOps/MLOps !
 Le process de recrutement
Un premier échange visio avec l'équipe recrutement.
Un entretien technique.
Un entretien final avec notre Managing Director.",2026-03-25,https://candidat.francetravail.fr/offres/recherche/detail/205ZJQR,France Travail,"python, machine learning, deep learning, nlp, llm, régression, clustering",48.8414,2.3675
