id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,description,date_publication,url,source
206MBXT,Data Scientist - Risque - Fraude - Conformité Bancaire (H/F),INFORMATIS TECHNOLOGY SYSTM,94 - Val-de-Marne,,CDI,Annuel de 45000.0 Euros à 60000.0 Euros sur 12.0 mois,5 An(s),"Application web, Gestion des configurations, Analyser, exploiter, structurer des données, Concevoir une application web, Tester un logiciel, un système d'informations, une application","Description du poste :
Localisation : Val-de-Marne (mode hybride)
Expérience : 6 ans minimum
________________________________________
Contexte de la mission
Au sein d'un grand groupe bancaire, vous intervenez sur l'optimisation du dispositif de surveillance des opérations dans le cadre de la lutte contre le blanchiment et le financement du terrorisme (LCB-FT).
Actuellement, la détection repose sur la solution Actimize (en place depuis 2022), avec une vingtaine de scénarios actifs. Plusieurs phas",2026-04-03,https://candidat.francetravail.fr/offres/recherche/detail/206MBXT,France Travail
206JNVC,Data Scientist (H/F),SEGMENT ELITE,75 - PARIS,75009,CDI,Annuel de 45000.0 Euros à 65000.0 Euros sur 12.0 mois,7 An(s),"Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information","Nouvelle Opportunité - DATA SCIENTIST SENIOR
Localisation: Issy-les-Moulineaux (92) et Ollioules (83)

Description du Projet:
Participer à la phase de scoping et au cadrage des besoins IA, concevoir, développer et valider des solutions algorithmiques de Computer Vision/DRI. Assurer le cycle de vie complet des modèles (MLOps) dans un environnement de sprint condensé.
Compétences Requises:
Computer Vision
Algorithmes DRI
TensorFlow
PyTorch
Python
Docker
GitLab CI
MLOps
Deep Learning
Machine Learni",2026-04-01,https://candidat.francetravail.fr/offres/recherche/detail/206JNVC,France Travail
206JGXV,"Data Scientist, Expert Python , Pyspark, Azur (H/F)",CEDIS BI DEAPDATA,75 - Paris (Dept.),,CDI,Annuel de 45000.0 Euros à 50000.0 Euros sur 12.0 mois,6 Mois,"Mastère spécialisé expert big data engineer, Programmation en Python, Analyser, exploiter, structurer des données","DEAPDATA recherche un data Scientist pour rejoindre son équipe data :

En tant que Data Scientist, vous serez responsable de l'analyse et de l'interprétation de données complexes pour aider l'entreprise à prendre des décisions éclairées. Vous travaillerez en étroite collaboration avec les équipes techniques et commerciales pour comprendre leurs besoins et fournir des solutions basées sur des données.

Fonctions et responsabilités
Vos missions principales seront les suivantes :
Analyser et interp",2026-04-01,https://candidat.francetravail.fr/offres/recherche/detail/206JGXV,France Travail
206GRDB,Data Scientist (H/F),IRLY,Ile-de-France,,CDI,Annuel de 40000.0 Euros à 55000.0 Euros sur 12.0 mois,Débutant accepté,"Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information","IRLY réinvente le métier du conseil autour de la transformation digitale. Nos équipes interviennent sur de grands programmes de transformation, principalement pour de grandes banques et sur des enjeux complexes à la fois d'un point de vue métier et technologique.

Votre rôle
Au sein d'une équipe IRLY pluridisciplinaires, votre rôle est d'accompagner nos clients sur leurs projets de transformation digitale, sur la dimension Data :
- Identifier les problématiques Data du client et recueillir ses b",2026-03-31,https://candidat.francetravail.fr/offres/recherche/detail/206GRDB,France Travail
206BXBM,R&D Data Scientist (H/F),WIZBII,44 - Nantes,44000,CDI,Annuel de 45000.0 Euros à 50000.0 Euros sur 12.0 mois,12 Mois,"Adapter les outils de traitement statistique de données, Conduire des travaux d'études et de recherche, Définir et faire évoluer des procédés de traitement de l'information","La société WIZBII recherche pour IRT JULES VERNE un Ingénieur R&D Data Scientist expérimenté H/F en CDI à temps plein. 
 
Vos missions seront :

-Participer au montage et à la réalisation des projets de recherche élaborés avec nos partenaires industriels

-Proposer des prestations de recherche en apportant des solutions techniques aux Clients de l'IRT JV

-Développer et programmer des algorithmes d'analyse de données basés sur l'Intelligence Artificielle en tenant compte des besoins et connaissa",2026-03-27,https://candidat.francetravail.fr/offres/recherche/detail/206BXBM,France Travail
205ZYXG,Data Scientist - Neurosciences (H/F),Non précisé,91 - LONGJUMEAU,91160,CDI,Mensuel de 2500.0 Euros à 3000.0 Euros sur 12.0 mois,Débutant accepté,"Adapter les outils de traitement statistique de données, Conduire des travaux d'études et de recherche, Définir et faire évoluer des procédés de traitement de l'information, Recherche","Missions principales
Accès et exploitation de bases de données de santé (SNDS)
Développement de modèles de NLP (traitement du langage naturel) sur données médicales
Extraction et structuration de données cliniques
Collaboration avec équipes médicales, juridiques et IT
Production d'analyses pour projets de recherche",2026-03-26,https://candidat.francetravail.fr/offres/recherche/detail/205ZYXG,France Travail
205ZJQR,Data Scientist (H/F),LITTLEBIGCODE,75 - PARIS 17,75017,CDI,Non précisé,2 An(s),"Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information"," Rejoins LittleBigCode en tant que Data Scientist !
Chez LittleBigCode, notre mission est simple : transformer les données en valeur pour nos clients.
Nous accompagnons des entreprises ambitieuses dans leurs projets data & IA, en concevant et déployant des solutions innovantes qui font la différence.
Ton rôle chez nous
En tant que Data Scientist, tu seras amené(e) à :
Accompagner nos clients dans la mise en œuvre de solutions autour de la gestion et de la transformation de leurs données.
Concevo",2026-03-25,https://candidat.francetravail.fr/offres/recherche/detail/205ZJQR,France Travail
205QQGK,Data Scientist Senior F/H,SOCOTEC TECHNICAL CONSULTING,91 - Palaiseau,91120,CDI,Annuel de 50000.0 Euros à 65000.0 Euros sur 12.0 mois,5 An(s),,"Description de l'entreprise

Let's SOCOTEC !

SOCOTEC est dans le Top 10 des Best Workplaces® 2026 en France (catégorie &gt;2500 salariés) !

Rejoindre SOCOTEC, c'est rejoindre une communauté d'experts soudés, une entreprise en croissance qui va de l'avant et qui valorise l'humain et le développement de ses équipes, c'est aussi rejoindre une dynamique collective qui fait la différence sur ses marchés : construction, immobilier, infrastructures, industrie, environnement.

Leader de la durabilité ",2026-03-18,https://candidat.francetravail.fr/offres/recherche/detail/205QQGK,France Travail
205QNTQ,Forward-Deployed Data Scientist Ii (H/F),Non précisé,75 - PARIS 09,75009,CDI,Annuel de 70000.0 Euros à 110000.0 Euros sur 12.0 mois,3 An(s),,"VOS RESPONSABILITÉS
Dynamisée par l'enthousiasme autour de BrazeAI, notre base de clients continue de croître et nous renforçons nos équipes ! Rejoignez notre équipe de Field Data Scientists, un groupe d'experts techniques créatifs qui collaborent étroitement avec les clients pour assurer leur réussite. À ce poste, vous :
- Collaborerez avec les équipes Analytics/BI des clients et les équipes Braze pour définir les cas d'usage, intégrer les données, mettre en place les pipelines et configurer le",2026-03-18,https://candidat.francetravail.fr/offres/recherche/detail/205QNTQ,France Travail
205MDMY,Senior Data Scientist - Ia Et Robotique Embarquées (H/F),REEV SAS,31 - Toulouse,31000,CDI,Annuel de 45000.0 Euros à 60000.0 Euros sur 12.0 mois,5 An(s),"Adapter les outils de traitement statistique de données, Définir et faire évoluer des procédés de traitement de l'information","Principales responsabilités

Développement de modèles

 * Concevoir et entraîner des modèles de classification, de prédiction et de contrôle via Machine Learning et Deep Learning.
 * Analyser les données de séries temporelles à partir d'IMU, capteurs de pression, encodeurs et autres systèmes embarqués.

 Intégration de l'IA embarquée

 * Collaborer avec des ingénieurs en systèmes embarqués pour déployer des modèles dans des environnements d'exécution optimisés.
 * S'assurer que les modèles fonct",2026-03-16,https://candidat.francetravail.fr/offres/recherche/detail/205MDMY,France Travail
