id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,competences_extraites,description,date_publication,url,source
hv-cable-jointing-team-lead-laboratory-field-operations-a-region-zurich-switzerland-cologne-147654,"Hv Cable Jointing Team Lead - Laboratory & Field Operations (A)| Region: Zurich, Switzerland",CONCAPE,Cologne,,CDI,Non précisé,Non précisé,"Management, Team Leader","Management, Team Leader","<p>You are the technical backbone of HV cable jointing operations, in the lab and in the field. You lead a team of jointers, coordinate high-voltage cable installations and testing up to 500 kV, and ensure every jointing activity meets the highest standards of quality and safety. This role sits at the intersection of hands-on execution, team leadership, and cross-functional collaboration with R&#x26;D and Project Management.</p>
<h2>Tasks</h2>
<ul>
<li>Lead and coordinate a team of jointers acro",1777487437,https://www.arbeitnow.com/jobs/companies/concape/hv-cable-jointing-team-lead-laboratory-field-operations-a-region-zurich-switzerland-cologne-147654,Arbeitnow
senior-python-developer-django-haltern-am-see-16238,Senior Python Developer - Django (M/W/D),sync.blue® GmbH,Haltern am See,,Remote,Non précisé,Non précisé,"Remote, Software Development","Remote, Software Development","<p>Du arbeitest strukturiert, behältst auch in komplexen Situationen den Überblick und hast Freude daran, Software gründlich zu prüfen, zu testen und zuverlässig zu deployen? Dann passt du perfekt zu uns.</p>
<p>Wir suchen einen Senior Python Developer, der gemeinsam mit Produktmanagement und Entwicklern die Qualität unseres Kernprodukts sicherstellt und kontinuierlich weiterentwickelt. In dieser Rolle übernimmst du die technische Verantwortung für saubere Integrationen, zuverlässige Deployments",1777487437,https://www.arbeitnow.com/jobs/companies/syncblue-gmbh/senior-python-developer-django-haltern-am-see-16238,Arbeitnow
product-line-manager-defense-applications-a-region-lausanne-switzerland-augsburg-48930,"Product Line Manager Defense Applications (A) | Region: Lausanne, Switzerland",CONCAPE,Augsburg,,CDI,Non précisé,Non précisé,Engineering,Engineering,"<p>You take end-to-end ownership of a dedicated product portfolio in the defense segment, from strategic positioning to market execution. At the interface of engineering, commercial strategy, and key account management, you ensure that products meet both technical requirements and business objectives. You translate innovation roadmaps into market-ready solutions and actively drive growth in powertrain and defense-related applications.</p>
<h2>Tasks</h2>
<ul>
<li>Full lifecycle ownership of an as",1777483828,https://www.arbeitnow.com/jobs/companies/concape/product-line-manager-defense-applications-a-region-lausanne-switzerland-augsburg-48930,Arbeitnow
remote-senior-game-engineer-379845,Senior Game Engineer,Companion Group Ltd,Remote,,CDI,Non précisé,Non précisé,"Information technology, professional","Information technology, professional","<p style="";""><span style=""color: #000000"">Companion Group is a AAA co-development gaming studio with a globally distributed and fully remote setup, renowned for its adeptness in overcoming the most intricate challenges in multiplayer game development. Our reputation precedes us as an excellent choice for clients aspiring to elevate their latest multiplayer titles, enabling scalability in player numbers, maximising player density, and crafting immersive gameplay experiences.<br /><br /></span></p",1777483212,https://www.arbeitnow.com/jobs/companies/companion-group-ltd/remote-senior-game-engineer-379845,Arbeitnow
senior-gtm-strategy-manager-all-genders-munster-346718,Senior Gtm Strategy Manager (All Genders),clockin GmbH,Münster,,CDI,Non précisé,Non précisé,"Consulting, bachelor's degree","Consulting, bachelor's degree","<p><span style=""color: #000000"">Du bist das verbindende Glied zwischen Product, Marketing, Sales und Customer Success, arbeitest direkt mit dem C-Level und sorgst dafür, dass unsere wichtigsten Releases mit vollem Impact ankommen.</span></p><br /><br /><p><span style=""color: #000000"">Über 8.000 kleine Unternehmen nutzen clockin, um ihren Betrieb zu organisieren – vom Handwerksbetrieb über den Pflegedienst bis zum Restaurant. Wir wachsen schnell: neue Module, neue Branchen, neue Use Cases - in im",1777483212,https://www.arbeitnow.com/jobs/companies/clockin-gmbh/senior-gtm-strategy-manager-all-genders-munster-346718,Arbeitnow
kanzleimanager-biberach-469177,Kanzleimanager (M/W/D),Kaufmann & Kaufmann Steuerberater Partnerschaft mbB,Biberach,,CDI,Non précisé,Non précisé,Administration,Administration,"<p><strong>Wir stellen uns dir vor.</strong></p>
<p>Eine Kanzlei, vielschichtige Leistungsbereiche und über 40 Teammitglieder - was wie eine klassische mittelständische Steuerberatungs- und Rechtsanwaltsgesellschaft klingen mag, ist bei genauerem Betrachten vielleicht doch etwas mehr. Wir sehen den Menschen vor den Zahlen, denken und handeln fortschrittlich und arbeiten kontinuierlich daran, uns als Kanzlei und Arbeitgeber sinnvoll weiterzuentwickeln.</p>
<p>Wenn du aus Gründen wie fehlender Wer",1777482032,https://www.arbeitnow.com/jobs/companies/kaufmann-kaufmann-steuerberater-partnerschaft-mbb/kanzleimanager-biberach-469177,Arbeitnow
kanzleimanager-kempten-41597,Kanzleimanager (M/W/D),Kaufmann & Kaufmann Steuerberater Partnerschaft mbB,Kempten,,CDI,Non précisé,Non précisé,Administration,Administration,"<p><strong>Wir stellen uns dir vor.</strong></p>
<p>Eine Kanzlei, vielschichtige Leistungsbereiche und über 40 Teammitglieder - was wie eine klassische mittelständische Steuerberatungs- und Rechtsanwaltsgesellschaft klingen mag, ist bei genauerem Betrachten vielleicht doch etwas mehr. Wir sehen den Menschen vor den Zahlen, denken und handeln fortschrittlich und arbeiten kontinuierlich daran, uns als Kanzlei und Arbeitgeber sinnvoll weiterzuentwickeln.</p>
<p>Wenn du aus Gründen wie fehlender Wer",1777482031,https://www.arbeitnow.com/jobs/companies/kaufmann-kaufmann-steuerberater-partnerschaft-mbb/kanzleimanager-kempten-41597,Arbeitnow
projektmanager-data-analytics-data-science-all-gender-munich-309422,Projektmanager Data Analytics / Data Science (All Gender),Actana Consulting Services GmbH,Munich,,CDI,Non précisé,Non précisé,Engineering,Engineering,"<p>Bist du bereit, als Projektmanager im Bereich Data Analytics und Data Science bei Actana Consulting Services GmbH durchzustarten? Unser Unternehmen ist bekannt für seine innovativen Lösungen und seinen Kunde-zentrierten Ansatz. In deiner Rolle wirst du die Möglichkeit haben, spannende Projekte zu leiten und mit modernsten Technologien zu arbeiten. Dabei unterstützt du unseren Kunden, datengetriebene Entscheidungen zu treffen und ihre Geschäftsprozesse zu optimieren. Wenn du ein Faible für Dat",1777480265,https://www.arbeitnow.com/jobs/companies/actana-consulting-services-gmbh/projektmanager-data-analytics-data-science-all-gender-munich-309422,Arbeitnow
werkstudent-im-marketing-cologne-212120,Werkstudent Im Marketing (M/W/D),Santos Grills GmbH,Cologne,,CDI,Non précisé,Non précisé,Marketing and Communication,Marketing and Communication,"<h2>SANTOS sucht Verstärkung!</h2>
<p>Totale BBQ-Leidenschaft und purer Spaß am Genießen: Dafür steht die SANTOS Grills GmbH schon seit 2005, seit 2021 auch als Teil der globalen ZWILLING-Familie. Wir sind absolut grillverrückt und brennen für innovative Trends genauso wie für altbewährte Features. Erstklassige Qualität, faire Preise und ein Top-Kundenservice machen SANTOS Grills online und offline zu einen der führenden Grillfachhändler Deutschlands. Und wir haben weiterhin große Pläne! Dafür s",1777480264,https://www.arbeitnow.com/jobs/companies/santos-grills-gmbh/werkstudent-im-marketing-cologne-212120,Arbeitnow
cloud-senior-cloud-architect-berlin-144224,Cloud/ Senior Cloud Architect,Steadman & Chase,Berlin,,CDI,Non précisé,Non précisé,System and Network Administration,System and Network Administration,"<p>We are partnered with a global consultancy delivering large-scale cloud and platform transformations for enterprise organisations. This role is built for a senior technologist ready to combine architecture ownership, team leadership, and client advisory within complex multi-stakeholder environments. You will shape cloud strategy, lead engineering teams, and guide organisations through modernisation programmes that directly influence operational performance and scalability.</p>
<p><strong>Hiri",1777480263,https://www.arbeitnow.com/jobs/companies/steadman-chase/cloud-senior-cloud-architect-berlin-144224,Arbeitnow
