id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,description,date_publication,url,source
zR5K-Ny3UXlaHQpgAAAAAA==,Data Scientist Confirmé H/F,MEOGROUP,Lille,,À plein temps,None - None,Non précisé,,"🚀 Nous recrutons un(e) Data Scientist confirmé(e) – Lille (H/F)
Contexte
Dans le cadre du renforcement d’une équipe Data en pleine structuration, nous recherchons un(e) Data Scientist expérimenté(e) pour accompagner notre client basé à Lille sur des projets stratégiques autour de la data et de l’intelligence artificielle.
Vous interviendrez dans un environnement technologique moderne, en collaboration étroite avec les équipes Data, IT et métiers, avec un fort enjeu d’industrialisation des modèle",2026-04-28,https://www.welcometothejungle.com/fr/companies/meogroup/jobs/data-scientist-confirme-h-f_lille,JSearch/Indeed
bDi5WaBUd7NMPojlAAAAAA==,Data Scientist F/H,Safran Aircraft Engines,Moissy-Cramayel,,À plein temps,None - None,Non précisé,,"Contexte :
Dans un contexte de montée en puissance de l'intelligence artificielle au sein de la Direction Technique de Safran Aircraft Engines, le département Data, IA et Développement Logiciel renforce ses équipes en recrutant un Data Scientist expérimenté afin de structurer les pratiques de Data Science, maîtriser les évolutions technologiques et intégrer les exigences réglementaires liées à l'IA dans un environnement industriel critique.

Missions :
Le/la Data Scientist interviendra au sein d",2026-04-26,https://www.safran-group.com/fr/offres/france/moissy-cramayel/data-scientist-fh-178236,JSearch/Indeed
Ybt2funF2f1n8dxUAAAAAA==,Data Scientist En Alternance H/F,Aktisea,Paris,,À plein temps et Stage,None - None,Non précisé,,"Les missions du poste
AKTISEA est une entreprise adaptée spécialisée dans l'accompagnement des entreprises vers plus d'inclusion, en les aidant notamment dans le recrutement de candidats Bénéficiaires de l'Obligation d'Emploi des Travailleurs Handicapés (BOETH).
Notre vocation : prouver que handicap et performance sont deux notions conciliables.

Nous recherchons pour le compte de notre client, spécialisé dans La Banque de Détail, un Data Scientist (H/F) en alternance.
Ce poste est à pourvoir à ",2026-04-28,https://www.hellowork.com/fr-fr/emplois/78514675.html,JSearch/Indeed
6TfKTY0KymEYiP2JAAAAAA==,Data Scientist / Ia - Stage (F/H),MACIF,Issy-les-Moulineaux,,Stage,None - None,Non précisé,,"Vous êtes à la recherche d’une entreprise pour votre stage estival en data science et IA ?
Rejoignez notre équipe R&D et Prototypage IA à Issy-Les-Moulineaux en tant que stagiaire Data Scientist IA, à partir de Juin 2026 pour un stage de 4 à 6 mois !

Contexte de la mission :
Face au dérèglement climatique, les sinistres liés aux épisodes de sécheresse se multiplient. Le traitement de ces dossiers nécessite l’analyse minutieuse de rapports d’expertise sécheresse, qui sont souvent des documents l",2026-04-27,https://www.welcometothejungle.com/fr/companies/macif/jobs/data-scientist-ia-stage-f-h_issy-les-moulineaux,JSearch/Indeed
XTVktdbGj5bw5GgpAAAAAA==,"Stage - 6 Mois - Data Scientist Ia F/H | Charenton-Le-Pont, Fr",Groupe BPCE,Charenton-le-Pont,,À plein temps,None - None,Non précisé,,"Stage - 6 mois - Data Scientist IA F/H

{""description"": "" Description de l'entreprise 

Institution financi\u00e8re internationale de premier plan, Natixis Corporate & Investment Banking met \u00e0 disposition des entreprises, institutions financi\u00e8res, fonds d'investissement, agences souveraines et supranationales une palette de services en conseil, investment banking, financements, banque commerciale et sur les march\u00e9s de capitaux. 

Ses \u00e9quipes d'experts, pr\u00e9sentes da",2026-04-26,https://www.efinancialcareers.fr/emploi-France-Charenton-le-Pont-Stage_-_6_mois_-_Data_Scientist_IA_FH.id24178609,JSearch/Indeed
bvH2846NBbD3nXghAAAAAA==,Expert Ia Générative & Data Scientist – Plateforme Agentique (H/F) (H/F),skiils,,,À plein temps,None - None,Non précisé,,"Si tu aimes donner du sens à la donnée et la mettre en beauté, c’est que le Data science est ton domaine de prédilection !

De par ton expertise analytique pour transformer des données brutes en connaissances précieuses, participe, à nos côtés, à façonner l’avenir de nos clients retail !

Concrètement, qu’est-ce que l’équipe DATA Discoverii adresse ?

En tant que Consultant Data Scientist / Expert IA Générative (H/F) tes missions seront de :

• Construire le futur des agents IA

• Concevoir l’ar",2026-04-27,https://bebee.com/fr/jobs/expert-ia-generative-data-scientist-plateforme-agentique-skiils-8-rue-benoit-malon-92150-suresnes-fr--theirstack-672152684,JSearch/Indeed
wRN8lVDTZ8QvPEzvAAAAAA==,Offre N° 1968913 Data Scientist (F/H) (H/F),Havana IT & Apps,Grenoble,,Stage,None - None,Non précisé,,"Rejoignez le Groupe Havana en tant que data scientist ! Vous avez le goût des données et le sens de l'analyse utile aux décisions stratégiques ? Ce poste vous permettra de transformer la donnée en levier opérationnel pour un acteur majeur du secteur bancaire.

Vous interviendrez directement auprès des métiers pour piloter et réaliser des projets de data science et d'intelligence artificielle. Vous travaillerez sous la supervision d'un tech lead data scientist, dans un environnement structuré et ",2026-04-26,https://bebee.com/fr/jobs/offre-n-1968913-data-scientist-havana-it-apps-grenoble--techmap_fr_1968913,JSearch/Indeed
KsSBFEWVm8_icSWVAAAAAA==,Data Scientist – Optimisation Marchés France - Cdi,NW,Paris,,À plein temps,None - None,Non précisé,,"• Concevoir des stratégies de certification innovantes en lien avec les gestionnaires de réseaux afin de valoriser nos unités de stockage sur les marchés de l’électricité.

• Développer des outils et fonctionnalités techniques permettant d’automatiser nos procédés existants.

• Adapter les stratégies de valorisation existantes aux transformations à venir sur les marchés de l’électricité via la recherche opérationnelle.

Tech Stack :
• Pandas, Numpy

• ML: Scikit-learn, Pytorch, Xgboost,

• Pytho",2026-04-21,https://www.welcometothejungle.com/fr/companies/le-groupe-nw/jobs/data-scientist-optimisation-marches-france-cdi_paris,JSearch/Indeed
ErTStUEeUYjGR3BQAAAAAA==,Data Scientist (H/F),France Travail,Colombes,,À plein temps,None - None,Non précisé,,"Nous recherchons une personne ouverte d'esprit, dynamique et capable de sortir des sentiers battus. Vous devez savoir vous organiser et remplir vos objectifs en toute autonomie, en respectant le cahier des charges technique, les coûts et délais. Vous devrez faire preuve de curiosité et être capable de travailler en dehors de votre zone de confort. Une attitude positive et un bon état d'esprit sont des qualités indispensables pour réussir à ce poste. Vos projets concerneront plusieurs thèmes liés",2026-04-22,https://candidat.francetravail.fr/offres/recherche/detail/207JPXY,JSearch/Indeed
ZbVpLQ7vBHH6BH_bAAAAAA==,Data Scientist / Python – Ia & Aiops (H/F),STORM GROUP,,,À plein temps et Prestataire,None - None,Non précisé,,"Contexte du poste :
Nous recherchons un Data Scientist confirmé, expert en Python et en Data Learning, pour intervenir sur un projet d’évolution d’outils d’Event Management vers une plateforme intégrant des capacités avancées d’AIOps.
L’objectif est de renforcer l’automatisation, la corrélation d’incidents et la prédiction au sein d’un environnement de supervision IT.

Missions principales :
- Participer à la migration d’un outil d’Event Management vers une solution intégrant des modules AIOps.
",2026-04-23,https://www.free-work.com/fr/tech-it/developpeur-python/job-mission/data-scientist-python-ia-aiops-h-f-1,JSearch/Indeed
JvCu8NjOiXQGOC9nAAAAAA==,Data Engineer - Dbt. Snowflake - Keyrus France H/F,Keyrus france,Lyon,,À plein temps,None - None,Non précisé,,"Les missions du poste

Qui sommes-nous ? Une success story dans la Data et le Digital !

Notre mission ? Des projets à forte valeur ajoutée pour accroître la performance et la compétitivité des entreprises, faciliter et accélérer leur transformation.
Notre expertise depuis plus de 20 ans ? Le conseil et l'intégration de solutions innovantes autour de trois domaines :

- Data Intelligence

Business Intelligence, Big Data & Analytics, Intelligence Artificielle

- Digital Experience

Conseil, Strat",2026-04-28,https://www.hellowork.com/fr-fr/emplois/78518624.html,JSearch/Indeed
Q75kxB9sqnFIBmJOAAAAAA==,Data Engineer Cloud  (F/H),AS International Group,Paris,,À plein temps,None - None,Non précisé,,"AS International Group, présent depuis plus de 35 ans, recherche un Data Engineer pour intervenir chez ses clients grands comptes dans le secteur des banques & de l'assurance.

Récompensé par la médaille de platine EcoVadis, AS International Group fait partie du Top 1% des entreprises évaluées en 2024 en matière de RSE.

Pourquoi nous rejoindre ?

• Des missions longues (jusqu’à 3 ans) sur des projets data stratégiques
• Un accompagnement personnalisé et un suivi de carrière
• Des opportunités d",2026-04-28,https://fr.linkedin.com/jobs/view/data-engineer-cloud-f-h-at-as-international-group-4405552080,JSearch/Indeed
p8ZpQKsWeA1PLvRgAAAAAA==,Alternance Data Engineer - F/H,Daher,Bouguenais,,À plein temps,None - None,Non précisé,,"Vous avez envie de faire décoller votre carrière ?

Nous recherchons notre futur(e)

Alternance Data Engineer - F/H

Type de contrat

Apprentissage

Qui sommes-nous ?

Avionneur, industriel, prestataire de services industriels et logisticien, Daher compte aujourd’hui 14 500 collaborateurs pour un chiffre d’affaires de 1,9 milliard d’euros en 2025. Fort de son actionnariat familial, Daher est tourné vers l’innovation depuis sa création en 1863. Avec des implantations dans une quinzaine de pays, e",2026-04-27,https://fr.linkedin.com/jobs/view/alternance-data-engineer-f-h-at-daher-4405174567,JSearch/Indeed
WBZ_TlgNstXCsggPAAAAAA==,Alternant(E) - Data Engineer (H/F),Roquette Frères,Lestrem,,À plein temps,None - None,Non précisé,,"Nous recrutons un(e) Alternant(e) - Data Engineer (H/F) au sein du département Utilités, à partir de septembre 2026, sur notre site basé à Lestrem.

Son quotidien ?

Au sein du service des Utilités en charge de la fourniture d’utilités pour l’ensemble du site. (90 personnes). Vous rejoignez l’équipe Support Technique et Procédés (3 personnes) qui, parmi ses nombreuses fonctions, assure la collecte des données d’activité industrielle. En charge de la modernisation de nos système de collecte, de t",2026-04-26,https://www.roquette.com/fr/carrieres/offres-emploi/alternant-e-data-engineer-h-f,JSearch/Indeed
JKSHNrlmkYhwwocpAAAAAA==,Data Engineer - Data Solutions (H/F),France Travail,Neuilly-sur-Seine,,À plein temps,None - None,Non précisé,,"Bienvenue chez JCDecaux ! Au sein de la Direction DataCorp, chargée de l'exploitation et de la valorisation des données à travers le groupe, nous recherchons un Data Engineer - Data Solutions (H/F) pour intégrer une équipe dynamique composée de Data Engineers, Data Scientists, Data Analysts et DevOps. Vous contribuerez à concevoir, industrialiser et opérer des Data Solutions destinées à nos clients internes (filiales) : ETL custom, algorithmes et méthodologies de production de données opérationn",2026-04-27,https://candidat.francetravail.fr/offres/recherche/detail/206SRRX,JSearch/Indeed
081onxqM8xoQvD-xAAAAAA==,Data Engineer Gcp,Randstad Digital FR,Paris,,À plein temps,None - None,Non précisé,,"Randstad Digital est un partenaire technologique de premier plan, accompagnant la transformation numérique des entreprises en mettant à leur disposition des talents, des capacités de production et des solutions packagées adaptées à leurs besoins.

Nos métiers chez Randstad Digital s'articulent autour de plusieurs domaines clés :

• Infrastructures & Cloud : ingénierie système et réseau, migration et gestion du cloud, DevOps, cybersécurité, gestion de projet Infra et Data.
• Services applicatifs ",2026-04-26,https://www.randstaddigital.fr/fr/carrieres/toutes-nos-offres/data-engineer-gcp_paris_46794938/,JSearch/Indeed
zrkVGdA_ze-AYP16AAAAAA==,Data Engineer Microsoft Fabric Et Azure (Cdi - H/F),Talan,Toulouse,,À plein temps,None - None,Non précisé,,"Company Description
Fondé en France, Talan est aujourd’hui un groupe international qui accompagne ses clients dans leur transformation Data & IA, de bout en bout, en combinant conseil en management et expertise technologique.
Avec plus de 6000 collaborateurs sur 5 continents, nous accélérons les transformations de nos clients à travers des partenariats de long terme, en créant un impact mesurable et durable.
Notre proposition de valeur repose sur un écosystème d’innovation structuré : 2 500 expe",2026-04-24,https://www.welcometothejungle.com/fr/companies/talan/jobs/data-engineer-microsoft-fabric-et-azure-cdi-h-f_toulouse,JSearch/Indeed
6a0N1F1SLw-EiOhPAAAAAA==,Data Engineer Confirmé(E) - Expert Pyspark  - Services Financiers - Ile De France,SOPRA STERIA,Paris,,À plein temps,None - None,Non précisé,,"Company Description

Sopra Steria, acteur majeur de la Tech en Europe, avec 50 000 collaborateurs dans près de 30 pays, est reconnu pour ses activités de conseil, de services et solutions numériques. Il aide ses clients à mener leur transformation digitale et à obtenir des bénéfices concrets et durables. Le Groupe apporte une réponse globale aux enjeux de compétitivité des grandes entreprises et organisations, en combinant une connaissance approfondie des secteurs d'activité et des technologies ",2026-04-24,https://lesjeudis.com/fr/job/data-engineer-confirmee-expert-pyspark-services-financiers-ile-de-france-422680,JSearch/Indeed
zLTooQ8WP7-HzgQEAAAAAA==,Senior Data Engineer H/F,Primelis,,,À plein temps,None - None,Non précisé,,"Primelis est un groupe martech international qui opère quatre plateformes SaaS — Market (marketplaces), Signal (intelligence concurrentielle), Outrank (SEO à l’échelle) et BrandOS (gouvernance de marque). Nous travaillons avec des clients premium à l’échelle mondiale, dont Stripe et Databricks. 50 % de notre chiffre d’affaires est réalisé aux États-Unis.

Notre équipe data est volontairement resserrée — 6 personnes (5 ingénieurs + 1 Head of Data) — pour que chaque contribution reste visible et l",2026-04-27,https://bebee.com/fr/jobs/senior-data-engineer-primelis-50-quai-charles-pasqua-92300-levallois-perret-france--theirstack-672483537,JSearch/Indeed
Hu3iAsxtrBmsPznVAAAAAA==,Alternance Data Engineer -,DAHER,Bouguenais,,,None - None,Non précisé,,"Qui sommes nous ?

Avionneur, industriel, prestataire de services industriels et logisticien, Daher compte aujourd'hui environ 14 500 collaborateurs pour un chiffre d'affaires de 1,9 milliard d'euros en 2025. Fort de son actionnariat familial, Daher est tourné vers l'innovation depuis sa création en 1863. Avec des implantations dans une quinzaine de pays, en Europe, en Amérique du Nord et en Asie, Daher conçoit et développe des solutions à valeur ajoutée pour ses clients et partenaires aéronauti",2026-04-26,https://www.aerocontact.com/stage-aeronautique/alternance-data-engineer-fh~1114509.html,JSearch/Indeed
qpqy-Ul6Q7cy3yS2AAAAAA==,Data Analyst (H/F),INFORMATIS TECHNOLOGY SYSTM,,,À plein temps,None - None,Non précisé,,"Au sein d'un écosystème data d'une entreprise du secteur des paiements, l'équipe monétique (10 personnes) a pour mission de fournir des données liées aux paiements et aux clients afin de soutenir les analyses métiers et les équipes data du groupe. Missions principales 1. Production et exploitation des données Collecte, transformation et gestion des données de paiements et clients Garantie de la qualité, sécurité et intégrité des données Alimentation des systèmes opérationnels et interfaces clien",2026-04-29,https://candidat.francetravail.fr/offres/recherche/detail/207QSZZ,JSearch/Indeed
tlg_gl_cLfCSGQGaAAAAAA==,Alternance -  Data Analyst F/H,Safran Aircraft Engines,Montereau-sur-le-Jard,,À plein temps,None - None,Non précisé,,"Au sein de la division après-vente de Safran Aircraft Engines, la Direction Prévisions et Ventes Rechanges assure la vente des pièces de rechange aux clients (compagnies aériennes et ateliers de maintenance). Elle établit et assure les prévisions des révisions mondiales de moteurs, la définition des besoins de pièces associées, le chiffre d'affaires généré par ces ventes rechanges

La mission proposée s'inscrit dans le cadre de l'analyse et de la prévision des activités rechanges des moteurs à f",2026-04-27,https://www.safran-group.com/jobs/france/montereau-jard/alternance-data-analyst-fh-178255,JSearch/Indeed
fqM-AGydn6iMHftVAAAAAA==,Data Analyst (Cdd 12 Mois),AbbVie,Boulogne-Billancourt,,À plein temps,None - None,Non précisé,,"Description de l'entreprise

La mission d'AbbVie est de découvrir et de mettre à disposition des thérapies et des solutions innovantes qui permettent de répondre à des maladies graves d'aujourd'hui, et de relever les défis médicaux de demain. Nous nous efforçons d'avoir un impact remarquable sur la vie des patients dans plusieurs aires thérapeutiques clés majeures : immunologie, ophtalmologie, oncologie, neurosciences et virologie, ainsi qu'en médecine esthétique avec les produits et services de",2026-04-26,https://lesjeudis.com/job/data-analyst-cdd-12-mois-423704,JSearch/Indeed
BmAM-ka8pzO73lLFAAAAAA==,Offre N° 2001743 Data Analyst (H/F),France Travail,Châtillon,,À plein temps,None - None,Non précisé,,"Au sein de la Direction des Systèmes d?Informations Mutualisés, vous rejoindrez le Train DATA, en charge des projets BI et Data pour l?ensemble des enseignes et des fonctions d?appui de notre client. En tant que QA doté de compétences en analyse de données, vous intégrerez le pôle Qualité Data et serez rattaché à la squad Équipement de la Maison.

Votre rôle consistera à préparer et exécuter les cas de tests, constituer les jeux de données nécessaires, assurer le suivi des défauts identifiés et ",2026-04-27,https://bebee.com/fr/jobs/offre-n-2001743-data-analyst-france-travail-chatillon--techmap_fr_2001743,JSearch/Indeed
NA-cmq-xch5t_R8yAAAAAA==,Senior Data Analyst (H/F),AZIRA,Paris,,À plein temps,None - None,Non précisé,,"Nous recherchons un Sr Data Analyst pour renforcer notre équipe Data. Ce rôle clé consiste à garantir la fiabilité, la performance et la valeur de nos données marketing et programmatiques. Le poste se situe à l'intersection de l'analyse de données, de l'analyse de performance et de la publicité digitale (programmatique, DOOH, DSP, etc.). Vous accompagnerez les équipes commerciales, opérationnelles et produit dans leurs prises de décisions stratégiques et leurs optimisations quotidiennes. Respons",2026-04-22,https://candidat.francetravail.fr/offres/recherche/detail/206YNPL,JSearch/Indeed
R116vPsCvpUGsDc8AAAAAA==,Fund Data Analyst – Alternance (12 À 24 Mois),Harvest Groupe,,,Stage,None - None,Non précisé,,"Au sein du Groupe Harvest, Quantalys est une référence dans l'univers de la gestion d'actifs. Notre Département Data joue un rôle central : il gère, enrichit et garantit la qualité de la base de données qui alimente nos outils et services. Une équipe d'experts, des sujets concrets, et un impact direct sur nos clients et partenaires.

Rattaché(e) Au Département Data, Tu Intègres Une Équipe Qui Travaille Au Cœur De La Donnée Financière. Encadré(e) Par Des Seniors, Tu Montes En Compétences Progress",2026-04-27,https://bebee.com/fr/jobs/fund-data-analyst-alternance-12-a-24-mois-harvest-groupe-puteaux-ile-de--theirstack-672166780,JSearch/Indeed
LPpObCXYtCkzC3FOAAAAAA==,Alternant -Data Analyst Moyens De Paiement H/F,LCL - Fonctions Centrales,Villejuif,,À plein temps,None - None,Non précisé,,"Chez LCL, aller de l’avant c’est se réinventer pour ses clients et ses collaborateurs ! Venez vivre une expérience où la relation de proximité et l'innovation façonnent la banque de demain.
Nous avons à cœur de lancer votre carrière. C'est pourquoi nous investissons dans votre réussite avec un parcours d'intégration et de formation sur-mesure. Notre ambition ? Que cette expérience ne soit pas qu'une simple étape, mais qu'elle soit votre passeport pour une insertion professionnelle réussie.
Vous ",2026-04-22,https://groupecreditagricole.jobs/fr/nos-offres-emploi/1292-170468-3-alternant--data-analyst-moyens-de-paiement-hf-reference--2026-111916--/,JSearch/Indeed
TyR5RQwRf3uyTAvOAAAAAA==,Offre N° 1951767 Data Analyst (H/F),France Travail,,,Stage,None - None,Non précisé,,"Description du poste : En tant qu'organisateur de forums de recrutement, Talents Handicap accompagne de très nombreuses entreprises & organisations en France dans leurs recrutements de collaborateurs en situation de handicap. Participant actuellement à l'un de nos forums. L'entreprise EDF recherche actuellement des profils Exprimez votre potentiel au sein d'un groupe engagé pour un avenir durable.

Chez EDF, chaque énergie compte. En rejoignant notre entreprise, vous intégrez un collectif où cha",2026-04-25,https://bebee.com/fr/jobs/offre-n-1951767-data-analyst-france-travail--techmap_fr_1951767,JSearch/Indeed
jRO3gDOJnfqAIIg9AAAAAA==,Offre D'Alternance : Data Analyst (H/F),Arundo Re,Paris,,Prestataire,None - None,Non précisé,,"L’alternant(e) Data Analyst aura pour mission de contribuer, au sein du Pôle Data & Visualisation, à l’analyse, à la modélisation et à la restitution des données pour les directions métiers.
lI/elle interviendra en collaboration avec les Data Engineers et les équipes métiers afin de transformer les données disponibles
en indicateurs exploitables et en supports d’aide à la décision.
Ses principales activités se déclinent comme suit:
Analyse des besoins métiers
• Recueillir et formaliser les besoi",2026-04-08,https://www.welcometothejungle.com/fr/companies/arundo-re/jobs/data-analyste-h-f_paris,JSearch/Indeed
Dj7wKzn-KF8AukKCAAAAAA==,Stage Data Analyst F/H,Orange SA,Arcueil,,Stage,None - None,Non précisé,,"Date de publication : Apr 20, 2026, 1:12PM
Rejoignez nous en tant que stagiaire Data Analyste, où vous aurez l’opportunité de contribuer à des projets stratégiques et variés au sein de notre équipe.
L’objectif est d’enrichir la connaissance et la maitrise de nos parcours de Commande Livraison des offres Fibre.
Vos missions :
Vous travaillerez à enrichir des analyses et des rapports déjà en place et à les faire évoluer en lien avec des projets livrés (nouvelles données, nouveaux processus….)

Vou",2026-04-29,https://orange.jobs/fr/fr/job/CTS-2025-46928/Stage-Data-Analyst-F-H,JSearch/Indeed
