id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,competences_extraites,description,date_publication,url,source
2129666559,Lifecycle Marketing Manager,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://ve.linkedin.com/jobs/view/lifecycle-marketing-manager-at-kanekta-4402714142,LinkedIn
2129666517,Recuperación De Clientes & Fidelización,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://ve.linkedin.com/jobs/view/recuperaci%C3%B3n-de-clientes-fidelizaci%C3%B3n-at-pepe-monedas-4407509172,LinkedIn
2129666510,Executive Assistant (Real Estate),Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://ve.linkedin.com/jobs/view/executive-assistant-real-estate-at-instant-assistance-llc-4406964587,LinkedIn
2129666404,Abm Specialist - Remote Work,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://ve.linkedin.com/jobs/view/abm-specialist-remote-work-at-bairesdev-4406580136,LinkedIn
2129666402,Líder Nwm Pro | Pagos En Stablecoins | Venezuela (Remote),Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://ve.linkedin.com/jobs/view/l%C3%ADder-nwm-pro-pagos-en-stablecoins-venezuela-remote-at-sanuslife-administration-ag-4402467887,LinkedIn
2129666320,Mlops Engineer (Remote),Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://ve.linkedin.com/jobs/view/mlops-engineer-remote-at-quik-hire-staffing-4408511032,LinkedIn
2129666316,Site Reliability Engineer (Remote),Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://ve.linkedin.com/jobs/view/site-reliability-engineer-remote-at-quik-hire-staffing-4408503805,LinkedIn
2129666287,Representante Del Servicio De Atención Al Cliente,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://ve.linkedin.com/jobs/view/representante-del-servicio-de-atenci%C3%B3n-al-cliente-at-efiempresa-4408274621,LinkedIn
2129666267,Sales & Marketing Coordinator – Remote (Latam),Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://ve.linkedin.com/jobs/view/sales-marketing-coordinator-%E2%80%93-remote-latam-at-charly-agency-4408501066,LinkedIn
2129666158,Amazon Category Specialist,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://ve.linkedin.com/jobs/view/amazon-category-specialist-at-sunco-com-4406055702,LinkedIn
2129662452,Portugal Online Language School Franchise Owner,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://pt.linkedin.com/jobs/view/portugal-online-language-school-franchise-owner-at-lingua-learn-portugal-4408291454,LinkedIn
2129662415,Microsoft Csp Support Specialist,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://pt.linkedin.com/jobs/view/microsoft-csp-support-specialist-at-appxite-4406080089,LinkedIn
2129662244,Systems Administrator – Infrastructure | Remote,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://pt.linkedin.com/jobs/view/systems-administrator-%E2%80%93-infrastructure-remote-at-inoweiser-4408294276,LinkedIn
2129662200,Mathematics & Python Expert - Freelance Ai Trainer,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://pt.linkedin.com/jobs/view/mathematics-python-expert-freelance-ai-trainer-at-mindrift-4408285575,LinkedIn
2129662185,Uk-Based Technical Translator - English To Angolan/European Portuguese,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://pt.linkedin.com/jobs/view/uk-based-technical-translator-english-to-angolan-european-portuguese-at-pth-translationworks-4405582076,LinkedIn
2129662184,Sales Development Representative – On-Trade / Horeca/Algarve Region,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://pt.linkedin.com/jobs/view/sales-development-representative-%E2%80%93-on-trade-horeca-algarve-region-at-spraga-kombucha-4408286250,LinkedIn
2129662155,Frontend Engineer,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://pt.linkedin.com/jobs/view/frontend-engineer-at-huspy-4406998187,LinkedIn
2129662112,Sub-Agente Telecomunicações,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://pt.linkedin.com/jobs/view/sub-agente-telecomunica%C3%A7%C3%B5es-at-santos-silva-4408504515,LinkedIn
2129662008,Director Of Commercial Operations,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://pt.linkedin.com/jobs/view/director-of-commercial-operations-at-curaleaf-international-4406089491,LinkedIn
2129661202,Closer De Ventas,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/closer-de-ventas-at-d%C3%B5lmen-4406089277,LinkedIn
2129661201,Closer De Ventas,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/closer-de-ventas-at-conquista-tu-maternidad-s-l-4408248208,LinkedIn
